ano,id_municipio,id_uf,sigla_uf,nome_municipio,pct_alfabetizados,meta_pct,gap_meta_pct,atingiu_meta,n_avaliados,ponto_corte,camada
2024,3147402,31,MG,Mun_3147402,72.26,62.0,10.260000000000005,True,,743,gold
2024,3108503,31,MG,Mun_3108503,81.34,62.0,19.340000000000003,True,,743,gold
2024,4322541,43,RS,Mun_4322541,40.0,62.0,-22.0,False,,743,gold
2024,2801405,28,SE,Mun_2801405,34.24,62.0,-27.759999999999998,False,,743,gold
2024,4306106,43,RS,Mun_4306106,54.7,62.0,-7.299999999999997,False,,743,gold
2024,3167608,31,MG,Mun_3167608,72.42,62.0,10.420000000000002,True,,743,gold
2024,1706506,17,TO,Mun_1706506,45.61,62.0,-16.39,False,,743,gold
2024,5002209,50,MS,Mun_5002209,58.78,62.0,-3.219999999999999,False,,743,gold
2024,5102850,51,MT,Mun_5102850,64.87,62.0,2.8700000000000045,True,,743,gold
2024,2917607,29,BA,Mun_2917607,53.7,62.0,-8.299999999999997,False,,743,gold
2024,4218103,42,SC,Mun_4218103,80.2,62.0,18.200000000000003,True,,743,gold
2024,3119203,31,MG,Mun_3119203,73.42,62.0,11.420000000000002,True,,743,gold
2024,5007950,50,MS,Mun_5007950,56.62,62.0,-5.380000000000003,False,,743,gold
2024,3140605,31,MG,Mun_3140605,28.57,62.0,-33.43,False,,743,gold
2024,4300307,43,RS,Mun_4300307,42.4,62.0,-19.6,False,,743,gold
2024,3123403,31,MG,Mun_3123403,66.67,62.0,4.670000000000002,True,,743,gold
2024,2111201,21,MA,Mun_2111201,56.58,62.0,-5.420000000000002,False,,743,gold
2024,3125804,31,MG,Mun_3125804,52.38,62.0,-9.619999999999997,False,,743,gold
2024,5214903,52,GO,Mun_5214903,71.43,62.0,9.430000000000007,True,,743,gold
2024,2110005,21,MA,Mun_2110005,58.7,62.0,-3.299999999999997,False,,743,gold
2024,1720150,17,TO,Mun_1720150,61.9,62.0,-0.10000000000000142,False,,743,gold
2024,3126208,31,MG,Mun_3126208,80.63,62.0,18.629999999999995,True,,743,gold
2024,2105153,21,MA,Mun_2105153,77.64,62.0,15.64,True,,743,gold
2024,2208551,22,PI,Mun_2208551,64.29,62.0,2.2900000000000063,True,,743,gold
2024,2600500,26,PE,Mun_2600500,59.77,62.0,-2.229999999999997,False,,743,gold
2024,2510006,25,PB,Mun_2510006,63.86,62.0,1.8599999999999994,True,,743,gold
2024,4102901,41,PR,Mun_4102901,70.06,62.0,8.060000000000002,True,,743,gold
2024,4304408,43,RS,Mun_4304408,46.8,62.0,-15.200000000000003,False,,743,gold
2024,4122206,41,PR,Mun_4122206,61.35,62.0,-0.6499999999999986,False,,743,gold
